Experience (Years),Education Level,Job Role,Location,Skills,Salary
10,Bachelors,Software Engineer,Suburban,"Machine Learning,Communication",1110717
18,Masters,Software Engineer,Suburban,Communication,1648346
16,Masters,HR,Rural,"Communication,Leadership,Communication",998168
7,PhD,Manager,Suburban,"Machine Learning,Communication,Machine Learning",781680
2,Masters,Manager,Rural,"SQL,Machine Learning,Python",1271375
2,PhD,Others,Urban,"Python,Python",581342
0,Bachelors,Manager,Urban,"Python,Communication",839542
4,Bachelors,Manager,Urban,"Leadership,SQL",1392814
9,Bachelors,Manager,Urban,"Python,SQL,Machine Learning",301252
6,Bachelors,Data Scientist,Rural,"Leadership,Machine Learning",1126196
8,PhD,Others,Suburban,Java,1164141
